z Webb.NIRCam.F200W Webb.NIRCam.F277W Webb.NIRCam.F356W Webb.NIRCam.F444W
10.39999999999998 8.11534133559618e-07 7.169893566881575e-07 7.115643963564503e-07 8.422009470886558e-07
10.49999999999998 8.028378134424363e-07 7.091098634964264e-07 7.028303008827021e-07 8.222965216273723e-07
10.59999999999998 7.933766561642148e-07 7.01553025648468e-07 6.942464194226617e-07 8.022855075520093e-07
10.69999999999998 7.703489381429496e-07 6.941162100722557e-07 6.857930501016871e-07 7.849383735367029e-07
10.79999999999998 7.540981366217656e-07 6.866976735348408e-07 6.774090710788932e-07 7.709871054637877e-07
10.899999999999979 7.43369023446072e-07 6.794808118250406e-07 6.689766519267376e-07 7.582078963663564e-07
10.999999999999979 7.349577300736104e-07 6.725115554814378e-07 6.609116113298302e-07 7.453191865396395e-07
11.099999999999978 7.273017837929601e-07 6.654442751848529e-07 6.532086745390151e-07 7.322922695585048e-07
11.199999999999978 7.199557034154439e-07 6.587495271713375e-07 6.454448811272283e-07 7.185080618458308e-07
11.299999999999978 7.123961457596314e-07 6.522040118406302e-07 6.379173443751353e-07 7.049444615439014e-07
11.399999999999977 7.046229336807872e-07 6.459240526872082e-07 6.305279329132447e-07 6.921205797130824e-07
11.499999999999977 6.969606222980689e-07 6.401942504135032e-07 6.228894961156304e-07 6.804803687175006e-07
11.599999999999977 6.894374959088389e-07 6.379957965564838e-07 6.155482330561693e-07 6.682576453509056e-07
11.699999999999976 6.818546634150724e-07 6.363463505384024e-07 6.086425286087373e-07 6.561039325619785e-07
11.799999999999976 6.74518916102281e-07 6.339911079174807e-07 6.018371915790146e-07 6.439886957753435e-07
11.899999999999975 6.673984312833511e-07 6.313201454575641e-07 5.94798854768891e-07 6.310959770097479e-07
