fesc FAKE.FAKE.1500 FAKE.FAKE.2500 FAKE.FAKE.BBa FAKE.FAKE.BBb FAKE.FAKE.D4000a FAKE.FAKE.D4000b FAKE.FAKE.U FAKE.FAKE.V Hbeta_EW OIIIr_EW OIIIb_EW OIIIHbeta_EW
0.5 1.4004760378362836e+21 1.035733887495734e+21 8.942050350372909e+20 1.1587956126145725e+21 1.2619145885895423e+21 1.212094615831432e+21 1.0526762073078316e+21 9.9438661767041e+20 74.63099719285272 242.01504449778818 75.48633981359944 392.1323815042403
0.51 1.3984086067632818e+21 1.033216929223001e+21 8.906772369114918e+20 1.1573894503632972e+21 1.2576208239069244e+21 1.209387878168518e+21 1.0485601874400302e+21 9.92580644850971e+20 73.25405106921912 237.53619232885345 74.08316030457905 384.8734037026517
0.52 1.3963411756902806e+21 1.0306999709502678e+21 8.871494387856928e+20 1.1559832881120215e+21 1.2533270592243066e+21 1.2066811405056037e+21 1.0444441675722287e+21 9.907746720315323e+20 71.87274255934442 233.043667993507 72.67593301331463 377.59234356616605
0.53 1.3942737446172788e+21 1.0281830126775345e+21 8.836216406598937e+20 1.1545771258607458e+21 1.249033294541689e+21 1.2039744028426898e+21 1.0403281477044269e+21 9.889686992120935e+20 70.48705089922748 228.5374087924659 71.26464039941932 370.2891000911127
0.54 1.3922063135442773e+21 1.0256660544048014e+21 8.800938425340949e+20 1.1531709636094702e+21 1.244739529859071e+21 1.201267665179776e+21 1.0362121278366254e+21 9.871627263926546e+20 69.09695519288167 224.0173516424829 69.84926482101514 362.9635716563797
0.55 1.3901388824712755e+21 1.0231490961320682e+21 8.765660444082957e+20 1.1517648013581947e+21 1.240445765176453e+21 1.198560927516862e+21 1.032096107968824e+21 9.853567535732156e+20 67.70243441128441 219.48343307340275 68.42978853399802 355.6156560186852
0.56 1.388071451398274e+21 1.0206321378593349e+21 8.730382462824968e+20 1.150358639106919e+21 1.2361520004938353e+21 1.1958541898539482e+21 1.0279800881010222e+21 9.835507807537769e+20 66.30346739131686 214.93558922519105 67.00619369129622 348.24525030780416
0.5700000000000001 1.3860040203252725e+21 1.0181151795866017e+21 8.695104481566978e+20 1.1489524768556434e+21 1.2318582358112175e+21 1.193147452191034e+21 1.0238640682332207e+21 9.817448079343379e+20 64.90003283469323 210.37375584493657 65.57846234212232 340.85225102175207
0.58 1.383936589252271e+21 1.0155982213138687e+21 8.65982650030899e+20 1.1475463146043677e+21 1.2275644711285996e+21 1.19044071452812e+21 1.0197480483654192e+21 9.799388351148991e+20 63.49210930688011 205.79786828382456 64.14657643121876 333.4365540219235
0.59 1.3818691581792692e+21 1.0130812630411351e+21 8.624548519051e+20 1.146140152353092e+21 1.2232707064459818e+21 1.187733976865206e+21 1.0156320284976177e+21 9.781328622954602e+20 62.07967523600494 201.20786149408352 62.71051779809674 325.9980545281852
0.6 1.3798017271062677e+21 1.0105643047684023e+21 8.58927053779301e+20 1.1447339901018164e+21 1.2189769417633639e+21 1.1850272392022922e+21 1.0115160086298163e+21 9.763268894760214e+20 60.66270891175456 196.60367002590243 61.270268176268424 318.5366471139254
0.61 1.3777342960332662e+21 1.0080473464956686e+21 8.55399255653502e+20 1.143327827850541e+21 1.2146831770807461e+21 1.182320501539378e+21 1.0073999887620146e+21 9.745209166565826e+20 59.24118848426272 191.98522802431995 59.82580919247249 311.05222570105514
0.62 1.3756668649602645e+21 1.0055303882229358e+21 8.518714575277031e+20 1.1419216655992653e+21 1.2103894123981282e+21 1.1796137638764641e+21 1.003283968894213e+21 9.727149438371434e+20 57.815091962987005 187.35246922608476 58.37712236589277 303.54468355496454
0.63 1.3735994338872627e+21 1.0030134299502026e+21 8.483436594019041e+20 1.1405155033479896e+21 1.2060956477155105e+21 1.1769070262135502e+21 9.991679490264115e+20 9.709089710177047e+20 56.38439721557476 182.7053269564863 56.924189107370125 296.01391327943116
0.64 1.3715320028142615e+21 1.0004964716774693e+21 8.448158612761051e+20 1.1391093410967142e+21 1.2018018830328927e+21 1.1742002885506362e+21 9.950519291586098e+20 9.691029981982658e+20 54.94908196671829 178.04373412615612 55.4669907186073 288.4598068114817
0.65 1.3694645717412597e+21 9.979795134047361e+20 8.412880631503061e+20 1.1377031788454383e+21 1.1975081183502748e+21 1.1714935508877223e+21 9.909359092908083e+20 9.672970253788271e+20 53.50912379699869 173.36762322783952 54.00550839136685 280.88225541620506
0.66 1.3673971406682582e+21 9.954625551320031e+20 8.377602650245071e+20 1.1362970165941629e+21 1.193214353667657e+21 1.1687868132248082e+21 9.868198894230068e+20 9.65491052559388e+20 52.06450014171854 168.67692633313663 52.53972320666187 273.28114968151704
0.67 1.3653297095952567e+21 9.929455968592696e+20 8.342324668987082e+20 1.1348908543428871e+21 1.188920588985039e+21 1.1660800755618942e+21 9.827038695552053e+20 9.636850797399495e+20 50.61518828972327 163.97157508921333 51.06961613393971 265.6563795128763
0.68 1.363262278522255e+21 9.904286385865365e+20 8.307046687729092e+20 1.1334846920916118e+21 1.184626824302421e+21 1.1633733378989802e+21 9.785878496874036e+20 9.618791069205104e+20 49.16116538221103 159.25150071548077 49.59516803025828 258.0078341279501
0.6900000000000001 1.3611948474492532e+21 9.879116803138034e+20 8.271768706471102e+20 1.132078529840336e+21 1.1803330596198034e+21 1.1606666002360661e+21 9.744718298196018e+20 9.600731341010717e+20 47.70240841153078 154.51663400024435 48.11635963945521 250.33540205123035
0.7000000000000001 1.3591274163762516e+21 9.853947220410701e+20 8.236490725213112e+20 1.1306723675890605e+21 1.1760392949371854e+21 1.1579598625731522e+21 9.703558099518004e+20 9.582671612816327e+20 46.238894219968884 149.76690529732065 46.63317159130958 242.6389711085991
0.71 1.3570599853032501e+21 9.828777637683368e+20 8.201212743955123e+20 1.1292662053377848e+21 1.1717455302545674e+21 1.1552531249102381e+21 9.662397900839991e+20 9.564611884621939e+20 44.77059949852356 145.00224452262253 45.14558440069613 234.9184284218422
0.72 1.3549925542302486e+21 9.803608054956037e+20 8.165934762697133e+20 1.1278600430865091e+21 1.1674517655719498e+21 1.1525463872473242e+21 9.621237702161974e+20 9.54655215642755e+20 43.29750078566747 140.22258115071205 43.65357846673194 227.17366040311146
0.73 1.352925123157247e+21 9.778438472228704e+20 8.130656781439144e+20 1.1264538808352334e+21 1.1631580008893318e+21 1.1498396495844103e+21 9.580077503483959e+20 9.528492428233161e+20 41.81957446609803 135.4278442113208 42.15713407191566 219.4045527493345
0.74 1.3508576920842454e+21 9.753268889501372e+20 8.095378800181155e+20 1.125047718583958e+21 1.158864236206714e+21 1.1471329119214962e+21 9.538917304805942e+20 9.510432700038773e+20 40.33679676947561 130.61796228583736 40.65623138125879 211.61099043657174
0.75 1.3487902610112439e+21 9.728099306774042e+20 8.060100818923165e+20 1.1236415563326823e+21 1.154570471524096e+21 1.1444261742585824e+21 9.497757106127929e+20 9.492372971844384e+20 38.84914376914898 125.79286350376103 39.1508504414094 203.7928577143194
0.76 1.346722829938242e+21 9.702929724046709e+20 8.024822837665175e+20 1.1222353940814067e+21 1.1502767068414784e+21 1.1417194365956683e+21 9.456596907449912e+20 9.474313243649996e+20 37.356591380868416 120.95247553912218 37.640971179767845 195.95003809975844
0.77 1.3446553988652406e+21 9.677760141319377e+20 7.989544856407185e+20 1.1208292318301309e+21 1.1459829421588605e+21 1.1390126989327544e+21 9.415436708771894e+20 9.456253515455606e+20 35.859115361485976 116.09672560686857 36.12657340359467 188.08241437194923
0.78 1.3425879677922388e+21 9.652590558592044e+20 7.954266875149193e+20 1.1194230695788554e+21 1.1416891774762426e+21 1.1363059612698403e+21 9.37427651009388e+20 9.438193787261219e+20 34.35669130764289 111.22554045921694 34.60763679911032 180.18986856597013
0.79 1.3405205367192373e+21 9.627420975864712e+20 7.918988893891206e+20 1.1180169073275799e+21 1.1373954127936248e+21 1.1335992236069264e+21 9.333116311415865e+20 9.420134059066829e+20 32.84929465444394 106.33884638196994 33.08414093058699 172.27228196700088
0.8 1.3384531056462358e+21 9.60225139313738e+20 7.883710912633215e+20 1.1166107450763042e+21 1.133101648111007e+21 1.1308924859440123e+21 9.29195611273785e+20 9.40207433087244e+20 31.33690067411862 101.43656919079773 31.55606523943204 164.3295351043484
0.81 1.3363856745732343e+21 9.577081810410048e+20 7.848432931375224e+20 1.1152045828250286e+21 1.1288078834283889e+21 1.1281857482810981e+21 9.250795914059835e+20 9.384014602678052e+20 29.81948447466905 96.51863422748411 30.02338904326326 156.36150774541642
0.8200000000000001 1.3343182435002328e+21 9.551912227682716e+20 7.813154950117234e+20 1.113798420573753e+21 1.1245141187457711e+21 1.1254790106181844e+21 9.209635715381818e+20 9.365954874483663e+20 28.297020998504237 91.5849663561363 28.486091534975788 148.36807888961633
0.8300000000000001 1.3322508124272308e+21 9.526742644955383e+20 7.777876968859245e+20 1.1123922583224772e+21 1.1202203540631534e+21 1.1227722729552705e+21 9.168475516703801e+20 9.347895146289275e+20 26.769485021060852 86.6354899593588 26.944151781800475 140.34912676222012
0.84 1.3301833813542293e+21 9.501573062228053e+20 7.742598987601255e+20 1.1109860960712017e+21 1.1159265893805356e+21 1.1200655352923564e+21 9.127315318025788e+20 9.329835418094887e+20 25.23685114941009 81.67012893438985 25.397548724353832 132.30452880815378
0.85 1.3281159502812278e+21 9.476403479500721e+20 7.707321006343266e+20 1.1095799338199262e+21 1.1116328246979177e+21 1.1173587976294425e+21 9.08615511934777e+20 9.311775689900499e+20 23.699093820850578 76.6888066892009 23.846261175679185 124.23416168573067
0.86 1.326048519208226e+21 9.451233896773386e+20 7.672043025085276e+20 1.1081737715686505e+21 1.1073390600152998e+21 1.1146520599665282e+21 9.044994920669755e+20 9.293715961706109e+20 22.15618730148721 71.69144613855859 22.290267820279258 116.13790126032505
0.87 1.3239810881352245e+21 9.426064314046054e+20 7.636765043827286e+20 1.1067676093173748e+21 1.1030452953326821e+21 1.1119453223036144e+21 9.00383472199174e+20 9.275656233511721e+20 20.60810568479561 66.67796970004825 20.729547213139927 108.01562259798379
0.88 1.321913657062223e+21 9.400894731318724e+20 7.601487062569297e+20 1.1053614470660994e+21 1.0987515306500641e+21 1.1092385846407003e+21 8.962674523313726e+20 9.257596505317333e+20 19.05482289017215 61.648299290059136 19.164077778744897 99.86719995897619
0.89 1.3198462259892215e+21 9.375725148591392e+20 7.566209081311307e+20 1.1039552848148237e+21 1.0944577659674463e+21 1.1065318469777865e+21 8.921514324635708e+20 9.239536777122943e+20 17.49631266146935 56.6023563197306 17.593837810081585 91.69250679128153
0.9 1.3177787949162197e+21 9.350555565864059e+20 7.530931100053318e+20 1.102549122563548e+21 1.0901640012848283e+21 1.1038251093148725e+21 8.880354125957693e+20 9.221477048928555e+20 15.932548565516388 51.54006169085883 16.018805467637737 83.49141572401295
0.91 1.3157113638432182e+21 9.325385983136727e+20 7.495653118795328e+20 1.1011429603122726e+21 1.0858702366022106e+21 1.1011183716519585e+21 8.839193927279677e+20 9.203417320734166e+20 14.363503990624752 46.4613357917638 14.438958778388953 75.2637985607775
0.92 1.3136439327702164e+21 9.300216400409394e+20 7.460375137537338e+20 1.099736798060997e+21 1.0815764719195927e+21 1.0984116339890445e+21 8.798033728601661e+20 9.185357592539777e+20 12.78915214507862 41.366098493115864 12.854275634776851 67.00952627297133
0.93 1.311576501697215e+21 9.275046817682063e+20 7.425097156279349e+20 1.0983306358097212e+21 1.0772827072369749e+21 1.0957048963261305e+21 8.756873529923646e+20 9.167297864345388e+20 11.209466055609921 36.2542691437216 11.264733793677852 58.72846899300937
0.9400000000000001 1.3095090706242134e+21 9.249877234954732e+20 7.389819175021359e+20 1.0969244735584457e+21 1.072988942554357e+21 1.0929981586632165e+21 8.715713331245631e+20 9.149238136151001e+20 9.624418565857914 31.1257665662684 9.670310875362478 50.420496007488794
0.9500000000000001 1.307441639551212e+21 9.224707652227398e+20 7.354541193763368e+20 1.09551831130717e+21 1.068695177871739e+21 1.0902914210003025e+21 8.674553132567615e+20 9.13117840795661e+20 8.033982334812992 25.98050905302738 8.070984362445019 42.08547575028539
0.96 1.30537420847821e+21 9.199538069500068e+20 7.31926321250538e+20 1.0941121490558943e+21 1.0644014131891213e+21 1.0875846833373885e+21 8.633392933889602e+20 9.113118679762222e+20 6.438129835244648 20.818414361514087 6.46673159882353 33.72327579558226
0.97 1.3033067774052087e+21 9.174368486772735e+20 7.28398523124739e+20 1.0927059868046188e+21 1.0601076485065036e+21 1.0848779456744745e+21 8.592232735211584e+20 9.095058951567834e+20 4.836833352113243 15.6393997101064 4.857529788609939 25.33376285082958
0.98 1.3012393463322072e+21 9.149198904045403e+20 7.2487072499894e+20 1.0912998245533433e+21 1.0558138838238856e+21 1.0821712080115605e+21 8.55107253653357e+20 9.076999223373447e+20 3.2300649809656874 10.443381773619652 3.2433559950503907 16.91680274963573
0.99 1.2991719152592054e+21 9.124029321318071e+20 7.21342926873141e+20 1.0898936623020676e+21 1.0515201191412679e+21 1.0794644703486464e+21 8.509912337855555e+20 9.058939495179057e+20 1.617796626314451 5.230276678837701 1.624187139435407 8.472260444587558
