fesc FAKE.FAKE.1500 FAKE.FAKE.2500 FAKE.FAKE.BBa FAKE.FAKE.BBb FAKE.FAKE.D4000a FAKE.FAKE.D4000b FAKE.FAKE.U FAKE.FAKE.V Hbeta_EW OIIIr_EW OIIIb_EW OIIIHbeta_EW
0.58 1.8846843830335153e+21 1.3599900223936054e+21 1.142782679172676e+21 1.4084360846257454e+21 1.5685518956041252e+21 1.482239748623091e+21 1.3290285925197223e+21 1.1989906844428303e+21 77.81495900033597 257.22426418527925 80.4614074715258 415.5006306571411
0.59 1.881530714652481e+21 1.3561515130329233e+21 1.1374024529736203e+21 1.4062899159884368e+21 1.5619969167095704e+21 1.4781109620276792e+21 1.3227572199137789e+21 1.1962338824775131e+21 76.11149949561252 251.5820187491054 78.68859336443798 406.3821116091559
0.6 1.8783770462714465e+21 1.3523130036722417e+21 1.1320222267745644e+21 1.4041437473511283e+21 1.555441937815016e+21 1.4739821754322673e+21 1.3164858473078354e+21 1.1934770805121962e+21 74.40133168075981 245.91806405596384 76.90931532746592 397.22871106418955
0.61 1.8752233778904123e+21 1.3484744943115599e+21 1.1266420005755086e+21 1.4019975787138195e+21 1.5488869589204615e+21 1.469853388836855e+21 1.3102144747018922e+21 1.190720278546879e+21 72.68441585109888 240.2322745706571 75.12353794344368 388.04022836519965
0.62 1.8720697095093774e+21 1.3446359849508783e+21 1.1212617743764528e+21 1.399851410076511e+21 1.5423319800259069e+21 1.4657246022414432e+21 1.3039431020959488e+21 1.187963476581562e+21 70.96071198799623 234.52452378823108 73.33122553598828 378.81646131221555
0.63 1.8689160411283432e+21 1.3407974755901964e+21 1.115881548177397e+21 1.3977052414392024e+21 1.5357770011313523e+21 1.4615958156460312e+21 1.2976717294900056e+21 1.1852066746162448e+21 69.23017975575468 228.79468422459314 71.53234216712373 369.55720614747156
0.64 1.865762372747309e+21 1.3369589662295146e+21 1.1105013219783411e+21 1.3955590728018936e+21 1.529222022236798e+21 1.457467029050619e+21 1.2914003568840621e+21 1.1824498726509273e+21 67.49277849846692 223.04262740701984 69.7268516348792 360.26225754036597
0.65 1.8626087043662744e+21 1.3331204568688327e+21 1.1051210957792853e+21 1.3934129041645848e+21 1.522667043342243e+21 1.4533382424552074e+21 1.2851289842781187e+21 1.1796930706856104e+21 65.74846723683181 217.2682238645559 67.9147174708602 350.9314085722479
0.66 1.8594550359852403e+21 1.329281947508151e+21 1.0997408695802296e+21 1.3912667355272766e+21 1.5161120644476882e+21 1.4492094558597952e+21 1.2788576116721752e+21 1.1769362687202932e+21 63.99720466493232 211.4713431182992 66.09590293779341 341.5644507210249
0.67 1.8563013676042058e+21 1.3254434381474693e+21 1.0943606433811737e+21 1.3891205668899678e+21 1.5095570855531336e+21 1.4450806692643833e+21 1.272586239066232e+21 1.1741794667549763e+21 62.23894914697509 205.65185367157326 64.27037102704398 332.1611738455923
0.68 1.8531476992231714e+21 1.3216049287867875e+21 1.0889804171821178e+21 1.3869743982526592e+21 1.503002106658579e+21 1.4409518826689717e+21 1.2663148664602886e+21 1.1714226647896592e+21 60.47365871399076 199.80962299998413 62.43808445610537 322.7213661700803
0.6900000000000001 1.8499940308421373e+21 1.3177664194261056e+21 1.083600190983062e+21 1.3848282296153504e+21 1.4964471277640247e+21 1.4368230960735595e+21 1.2600434938543452e+21 1.168665862824342e+21 58.70129106049465 193.9445175413607 60.59900566606125 313.24481426791664
0.7000000000000001 1.8468403624611026e+21 1.3139279100654238e+21 1.0782199647840063e+21 1.382682060978042e+21 1.4898921488694704e+21 1.4326943094781476e+21 1.253772121248402e+21 1.1659090608590249e+21 56.92180354110711 188.05640268557593 58.75309681901919 303.73130304570225
0.71 1.8436866940800685e+21 1.3100894007047422e+21 1.0728397385849506e+21 1.380535892340733e+21 1.4833371699749155e+21 1.428565522882736e+21 1.2475007486424588e+21 1.163152258893708e+21 55.13515316713329 182.14514276424936 56.90031979551562 294.1806157268983
0.72 1.8405330256990343e+21 1.3062508913440604e+21 1.0674595123858946e+21 1.3783897237034246e+21 1.476782191080361e+21 1.4244367362873237e+21 1.241229376036515e+21 1.1603954569283906e+21 53.341296603101114 176.21060104032608 55.04063619189177 284.59253383531893
0.73 1.8373793573179994e+21 1.3024123819833785e+21 1.0620792861868387e+21 1.3762435550661158e+21 1.4702272121858063e+21 1.4203079496919118e+21 1.234958003430572e+21 1.1576386549630737e+21 51.54019016325777 170.2526396975345 53.17400731764036 274.9668371784326
0.74 1.8342256889369652e+21 1.2985738726226967e+21 1.0566990599877831e+21 1.3740973864288075e+21 1.4636722332912522e+21 1.4161791630965e+21 1.2286866308246287e+21 1.1548818529977563e+21 49.73178980802326 164.27111982971718 51.30039419272227 265.3033038304627
0.75 1.8310720205559305e+21 1.294735363262015e+21 1.0513188337887275e+21 1.3719512177914985e+21 1.457117254396697e+21 1.412050376501088e+21 1.2224152582186855e+21 1.1521250510324394e+21 47.91605114040093 158.2659014300361 49.41975754485325 255.60171011529027
0.76 1.8279183521748964e+21 1.2908968539013332e+21 1.0459386075896713e+21 1.3698050491541902e+21 1.4505622755021425e+21 1.407921589905676e+21 1.2161438856127418e+21 1.149368249067122e+21 46.092929402344225 152.2368433800484 47.53205780675982 245.86183058915248
0.77 1.824764683793862e+21 1.2870583445406514e+21 1.0405583813906154e+21 1.3676588805168814e+21 1.444007296607588e+21 1.4037928033102639e+21 1.2098725130067986e+21 1.146611447101805e+21 44.26237947107895 146.18380343865283 45.63725511340456 236.08343802313635
0.78 1.8216110154128276e+21 1.2832198351799698e+21 1.0351781551915598e+21 1.3655127118795728e+21 1.4374523177130336e+21 1.399664016714852e+21 1.203601140400855e+21 1.1438546451364879e+21 42.42435585538059 140.10663823090303 43.73530929917957 226.26630338546317
0.79 1.8184573470317934e+21 1.279381325819288e+21 1.029797928992504e+21 1.3633665432422643e+21 1.4308973388184787e+21 1.39553523011944e+21 1.1973297677949117e+21 1.1410978431711708e+21 40.578812691805865 134.0052032366873 41.82617989506853 216.41019582356168
0.8 1.8153036786507585e+21 1.275542816458606e+21 1.024417702793448e+21 1.3612203746049558e+21 1.4243423599239241e+21 1.391406443524028e+21 1.1910583951889686e+21 1.1383410412058536e+21 38.72570374087794 127.87935277927252 39.90982612577624 206.51488264592672
0.81 1.8121500102697246e+21 1.2717043070979243e+21 1.0190374765943922e+21 1.3590742059676467e+21 1.4177873810293698e+21 1.3872776569286162e+21 1.184787022583025e+21 1.1355842392405365e+21 36.86498238322467 121.72894001371007 37.98620690682575 196.5801293037605
0.8200000000000001 1.80899634188869e+21 1.2678657977372424e+21 1.0136572503953366e+21 1.3569280373303382e+21 1.411232402134815e+21 1.3831488703332043e+21 1.1785156499770818e+21 1.1328274372752196e+21 34.99660161566915 115.5538169151019 36.05528084162222 186.60569937239325
0.8300000000000001 1.8058426735076555e+21 1.2640272883765606e+21 1.0082770241962807e+21 1.3547818686930297e+21 1.4046774232402606e+21 1.3790200837377923e+21 1.1722442773711385e+21 1.1300706353099022e+21 33.12051404727181 109.35383426672533 34.11700621848339 176.59135453248052
0.84 1.802689005126621e+21 1.2601887790158787e+21 1.002896797997225e+21 1.352635700055721e+21 1.398122444345706e+21 1.3748912971423804e+21 1.165972904765195e+21 1.1273138333445853e+21 31.236671895323568 103.12884164801376 32.171341007636 166.53685455097332
0.85 1.799535336745587e+21 1.256350269655197e+21 9.975165717981692e+20 1.3504895314184126e+21 1.3915674654511514e+21 1.3707625105469685e+21 1.1597015321592518e+21 1.124557031379268e+21 29.34502698128898 96.87868742239145 30.218242858177785 156.44195726185822
0.86 1.7963816683645525e+21 1.2525117602945153e+21 9.921363455991134e+20 1.3483433627811038e+21 1.3850124865565968e+21 1.3666337239515566e+21 1.1534301595533084e+21 1.121800229413951e+21 27.44553072669918 90.6032187249613 28.257669095004744 146.3064185466652
0.87 1.793227999983518e+21 1.2486732509338337e+21 9.867561194000575e+20 1.346197194143795e+21 1.3784575076620425e+21 1.3625049373561444e+21 1.147158786947365e+21 1.1190434274486338e+21 25.53813414899328 84.3022814500418 26.28957671570279 136.12999231473788
0.88 1.7900743316024837e+21 1.2448347415731516e+21 9.813758932010016e+20 1.3440510255064862e+21 1.3719025287674876e+21 1.3583761507607325e+21 1.1408874143414218e+21 1.1162866254833167e+21 23.62278785730797 77.97572023855254 24.313922387403814 125.91243048326433
0.89 1.7869206632214495e+21 1.24099623221247e+21 9.759956670019459e+20 1.3419048568691777e+21 1.3653475498729333e+21 1.3542473641653203e+21 1.1346160417354784e+21 1.1135298235179996e+21 21.699442048214244 71.62337846524504 22.330662443605245 115.65348295706454
0.9 1.7837669948404146e+21 1.2371577228517882e+21 9.706154408028901e+20 1.339758688231869e+21 1.3587925709783784e+21 1.3501185775699087e+21 1.128344669129535e+21 1.1107730215526826e+21 19.768046501400654 65.24509822577772 20.339752880953007 105.35289760813137
0.91 1.7806133264593807e+21 1.2333192134911063e+21 9.652352146038342e+20 1.3376125195945606e+21 1.3522375920838239e+21 1.3459897909744967e+21 1.1220732965235915e+21 1.1080162195873653e+21 17.828550575302266 58.84072032363178 18.341149355986985 95.01042025492103
0.92 1.7774596580783458e+21 1.2294807041304245e+21 9.598549884047783e+20 1.335466350957252e+21 1.3456826131892695e+21 1.3418610043790846e+21 1.1158019239176482e+21 1.1052594176220481e+21 15.880903202674453 52.410084256866156 16.334807181848827 84.62579464138943
0.93 1.7743059896973116e+21 1.225642194769743e+21 9.544747622057226e+20 1.3333201823199435e+21 1.339127634294715e+21 1.3377322177836726e+21 1.1095305513117048e+21 1.1025026156567311e+21 13.92505288611079 45.95302820470954 14.320681324951344 74.19876241577167
0.9400000000000001 1.7711523213162775e+21 1.221803685409061e+21 9.490945360066668e+20 1.3311740136826347e+21 1.33257265540016e+21 1.333603431188261e+21 1.1032591787057613e+21 1.0997458136914141e+21 11.960947693504204 39.46938901398651 12.298726401609134 63.72906310909985
0.9500000000000001 1.7679986529352428e+21 1.2179651760483795e+21 9.43714309807611e+20 1.3290278450453262e+21 1.3260176765056055e+21 1.3294746445928488e+21 1.0969878060998182e+21 1.0969890117260968e+21 9.988535253450507 32.959002185375745 10.268896674629788 53.21643411345604
0.96 1.7648449845542086e+21 1.2141266666876976e+21 9.38334083608555e+20 1.3268816764080176e+21 1.319462697611051e+21 1.3253458579974371e+21 1.0907164334938747e+21 1.0942322097607798e+21 8.007762750593534 26.421701859497965 8.231146049865236 42.66061065995674
0.97 1.7616913161731745e+21 1.2102881573270158e+21 9.329538574094993e+20 1.324735507770709e+21 1.3129077187164963e+21 1.3212170714020252e+21 1.0844450608879314e+21 1.0914754077954627e+21 6.018576920910842 19.857320802830525 6.185428072722534 32.061325796463905
0.98 1.7585376477921398e+21 1.206449647966334e+21 9.275736312104436e+20 1.3225893391334003e+21 1.3063527398219417e+21 1.3170882848066133e+21 1.0781736882819882e+21 1.0887186058301454e+21 4.0209240469394105 13.26569039344737 4.131695924633849 21.418310365020627
0.99 1.7553839794111056e+21 1.202611138605652e+21 9.221934050113879e+20 1.3204431704960915e+21 1.299797760927387e+21 1.3129594982112014e+21 1.0719023156760448e+21 1.0859618038648283e+21 2.014749952940073 6.6466406065802905 2.069902419484676 10.73129297900504
